country,ner,type
haiti,mawozo,other_ner
haiti,canaan gang,other_ner
haiti,5 secondes,other_ner
haiti,bwa kale,other_ner
haiti,chien mechant,other_ner
haiti,g pep,other_ner
haiti,g 9,other_ner
haiti,bout ba,other_ner
haiti,kraze barye,other_ner
haiti,haiti,country_name
hamburg,hamburg,country_name
hanover,hanover,country_name
heard island and mcdonald islands,heard island and mcdonald islands,country_name
heard mcdonald islands,heard mcdonald islands,country_name
hesse darmstadt,hesse darmstadt,country_name
hesse electoral,hesse electoral,country_name
hesse grand ducal,hesse grand ducal,country_name
hesse kassel,hesse kassel,country_name
holy see,holy see,country_name
honduras,tegucigalpa,capital
honduras,honduras,country_name
hong kong,victoria,capital
hong kong,hong kong sar china,country_name
hong kong,hong kong,country_name
hungary,budapest,capital
hungary,hungary,country_name
iceland,reykjavik,capital
iceland,iceland,country_name
india,new delhi,capital
india,naxal maoist,other_ner
india,naxal,other_ner
india,india,country_name
indonesia,jakarta,capital
indonesia,indonesia,country_name
iran,tehran,capital
iran,khorasan,other_ner
iran,iskp,other_ner
iran,iran,country_name
iraq,baghdad,capital
iraq,daesh,other_ner
iraq,al shaghanba,other_ner
iraq,isil,other_ner
iraq,isis,other_ner
iraq,kurdistan,other_ner
iraq,iraq,country_name
ireland,dublin,capital
ireland,ireland,country_name
isle of man,douglas,capital
isle of man,isle of man,country_name
israel,jerusalem,capital
israel,israel,country_name
italy,rome,capital
italy,italy,country_name
jamaica,kingston,capital
jamaica,jamaica,country_name
japan,tokyo,capital
japan,japan,country_name
jersey,jersey,country_name
jordan,amman,capital
jordan,jordan,country_name
kazakhstan,nur sultan,capital
kazakhstan,kazakhstan,country_name
kenya,nairobi,capital
kenya,al shabaab,other_ner
kenya,kenya,country_name
kiribati,kiribati,country_name
kosovo,pristina,capital
kosovo,kosovo,country_name
kuwait,kuwait city,capital
kuwait,kuwait,country_name
kyrgyzstan,bishkek,capital
kyrgyzstan,kyrgyzstan,country_name
lao people s democratic republic,lao people s democratic republic,country_name
laos,vientiane,capital
laos,laos,country_name
latvia,riga,capital
latvia,latvia,country_name
lebanon,beirut,capital
lebanon,hamas,other_ner
lebanon,hezbollah,other_ner
lebanon,hizbullah,other_ner
lebanon,lebanon,country_name
lesotho,maseru,capital
lesotho,lesotho,country_name
liberia,monrovia,capital
liberia,liberia,country_name
libya,tripoli,capital
libya,libya,country_name
liechtenstein,vaduz,capital
liechtenstein,liechtenstein,country_name
lithuania,vilnius,capital
lithuania,lithuania,country_name
luxembourg,luxembourg city,capital
luxembourg,luxembourg,country_name
macau,macau,capital
macau,macao sar china,country_name
macau,macao,country_name
madagascar,antananarivo,capital
madagascar,dahalo,other_ner
madagascar,gendamerie,other_ner
madagascar,madagascar,country_name
malawi,lilongwe,capital
malawi,malawi,country_name
malaysia,kuala lumpur,capital
malaysia,malaysia,country_name
maldives,male,capital
maldives,maldives,country_name
mali,bamako,capital
mali,jnim,other_ner
mali,wagner group,other_ner
mali,islamic state sahel province,other_ner
mali,issp,other_ner
mali,ambassagou,other_ner
mali,gatia,other_ner
mali,tuareg,other_ner
mali,gendamerie,other_ner
mali,cmfpr1,other_ner
mali,plateforme,other_ner
mali,mali,country_name
malta,valletta,capital
malta,malta,country_name
marshall islands,marshall islands,country_name
martinique,martinique,country_name
mauritania,nouakchott,capital
mauritania,mauritania,country_name
mauritius,port louis,capital
mauritius,mauritius,country_name
mayotte,mayotte,country_name
mecklenburg schwerin,mecklenburg schwerin,country_name
mexico,mexico city,capital
mexico,sinaloa,other_ner
mexico,los herreras,other_ner
mexico,los rusos,other_ner
mexico,los tlacos,other_ner
mexico,cjng,other_ner
mexico,jalisco new generation,other_ner
mexico,santa rosa de lima,other_ner
mexico,los cazadores,other_ner
mexico,la familia michoacana,other_ner
mexico,los chapitos,other_ner
mexico,chiapas,other_ner
mexico,mexico,country_name
micronesia,micronesia,country_name
modena,modena,country_name
moldova,chisinau,capital
moldova,moldova,country_name
monaco,monte carlo quarter,capital
monaco,monaco,country_name
mongolia,ulaanbaatar,capital
mongolia,mongolia,country_name
montenegro,podgorica,capital
montenegro,montenegro,country_name
montserrat,montserrat,country_name
morocco,rabat,capital
morocco,morocco,country_name
mozambique,maputo,capital
mozambique,mozambique,country_name
myanmar,naypyidaw,capital
myanmar,kachin,other_ner
myanmar,karen national,other_ner
myanmar,myaung,other_ner
myanmar,mspdf,other_ner
myanmar,people s defense force,other_ner
myanmar,launglon,other_ner
myanmar,sein baydar,other_ner
myanmar,kbu,other_ner
myanmar,pakokku,other_ner
myanmar,monywa,other_ner
myanmar,yinmarbin,other_ner
myanmar,okpho,other_ner
myanmar,ye bi lu aphwe,other_ner
myanmar,ye ogre,other_ner
myanmar,arakan,other_ner
myanmar,abino tiger,other_ner
myanmar,min kha sit kyaung,other_ner
myanmar,min kha,other_ner
myanmar,ngazun,other_ner
myanmar,magway,other_ner
myanmar,myingyan,other_ner
